start	end	text
0	12160	Et bienvenue à l'apéro du CAPTAIN WEEB, ça décoiffe avec le CAPTAIN, salut c'est l'apéro
12160	13160	là.
13160	16640	Salut bande d'ingrats, nous sommes le premier descendre, c'est l'épisode numéro 14 du
16640	21240	CAPTAIN WEEB, là tout le monde est déjà mort derrière donc ça commence bien, qu'est-ce
21240	23920	qu'on fait pour aujourd'hui ? On commence par un petit tour de table comme d'habitude.
23920	24920	Comme d'hab.
24920	26920	Avec l'ordre de ton père, allez c'est parti.
26920	30480	Bonsoir à tous, ravi de vous retrouver ainsi qu'à vous mes chers amis.
30480	34880	Deux petites choses dans mon premier mot, d'abord la semaine dernière on a parlé
34880	40240	un peu de neutralité du net avec l'ami antistress, un peu, beaucoup, ça a été un peu partagé
40240	43360	au niveau des retours, il y en a qui ont beaucoup apprécié, d'autres ont dit que c'était
43360	44360	à chier.
44360	48560	Bonne nouvelle ou mauvaise nouvelle en fonction, je vais en reparler un tout petit peu ce
48560	52800	soir mais rassurez-vous, j'espère que ce ne sera pas trop chiant, on vient de perdre
53800	59480	Et deuxièmement encore plus mauvaise nouvelle, mon cher ami antistress a accepté de remplir
59480	61840	pour la 2ème ou 3ème semaine de janvier si vous êtes d'accord ?
61840	64840	Oui tout à fait, on m'a dit qu'il allait faire un sujet sur l'éponée transsexuelle ?
64840	69800	Presque, mais en rété il avait plutôt l'intention de parler d'abord du logiciel libre.
69800	76760	Et là ce sera une rubrique pour lui, ouais ce sera gluant, et deuxième petit mot, aujourd'hui
76760	81080	ma rubrique sera un peu freestyle parce que beaucoup de boulot, donc peu de temps pour
81080	84400	le capitaine, et je réclame mon secrétariat au fait.
84400	85920	De quoi tu peux en parler lors de ton perle ?
85920	88200	Ca arrivera en même temps que ta paye en 2030.
88200	90360	Et Manox, à toi de parler.
90360	95640	Bah écoute très bien, alors ce soir c'est la rubrique scientifique avec notre ami que
95640	100400	nous connaissons tous ici bien, c'est le professeur Fiontus, et oui il vient parce qu'il est parti
100400	107800	travailler récemment au CERN, le LHC, souvenez-vous, le Large Adreant Collisioleur, et donc il
107800	110600	va venir parler de son expérience qu'il a rencontré des choses, il s'est passé des
110600	112400	choses extrêmement bizarroïdesques.
112400	115760	Ok donc là on vient de perdre encore 10 personnes depuis, je crois qu'on va pouvoir arrêter
115760	116760	le podcast directement.
116760	117760	Ok Kokos ?
117760	124000	Bon je vais annihiler les 50 dernières personnes avec un superbe What's Up du Quick and Deadly,
124000	125960	il y a du lourd un peu ce soir.
125960	126960	Quoi la vache !
126960	128960	Ca promet à trouver encore des trucs hardcore sur le net ?
128960	129960	Ca va être ça.
129960	136120	Hardcore, non on est pas dans le gras du côté verso mais on est dans le gras du côté spirituel
136120	137480	et intellectuel de la chance.
137480	138480	Du côté recto.
138480	140880	Ca dit j'ai vu des beaux trucs passer sur ton twitter.
140880	145280	Rappelons que notre ami Kokos a désormais un twitter qu'il ne peut plus l'acheter,
145280	152800	donc twitter.com slash Kokos, si vous êtes amateur d'écu, de gras et de news insolite,
152800	153800	suffit de le suivre.
153800	157320	Il y a un peu plus de 300 amateurs a priori actuellement.
157320	158320	Ca m'étonne pas.
158320	159320	Moi non plus.
159320	163600	Ok il y a 2-3 trucs avant qu'on commence, mais ça va être rapide, il y a New Yorkies
163600	170120	qui est un de nos fidèles auditeurs, qui lance un nouveau blog de Geek avec de l'iPhone
170120	176120	et de la pute probablement, donc vous pouvez aller sur geekies.com, ça se crée G-E-E-K-I-Z.com
176120	179200	et voilà comme d'habitude vous lui spammez son blog, vous essayez d'emprendre le contrôle
179200	180960	et vous remplacez ça par une de nos pubs.
180960	184720	Sinon il serait peut-être temps que vous alliez tous voter sur iTunes, ce que tu as
184720	187240	remarqué Kokos il n'y a pas longtemps, c'est que bande d'enculés on ne vous a pas
187240	192600	vu des masses voter cette semaine, on est même sorti du top 20 des podcasts technologiques
193080	194720	On n'est plus dedans d'ailleurs, c'est une honte.
194720	197920	Donc là je note que vous êtes 55 en ligne, alors ce que vous allez faire c'est que vous
197920	200120	allez ouvrir iTunes, parce que de toute façon je sais que vous êtes tous sous Windows,
200120	204520	n'essayez pas de faire croire que vous êtes sous Linux, et vous cliquez disons 20 fois
204520	208040	par personne sur le bouton abonner sur notre podcast, voilà comme ça d'ici.
208040	209560	On arrête l'apéro tant que ce n'est pas fait.
209560	212080	Voilà d'ici la fin de l'émission je pense qu'on devrait être au moins à la première
212080	218440	place, sinon on arrête et puis voilà c'est fini, et enfin le répondeur vous pouvez nous
218440	222840	envoyer des messages toujours 09 72 12 45 10, on n'a pas de messages cette semaine
222840	223840	je crois.
223840	224840	Tu ne m'en as pas donné en tout cas.
224840	227960	Oui parce que j'ai oublié donc vos messages restent dans ma boîte de réception jusqu'à
227960	228960	la semaine prochaine.
228960	229960	Merci Captain Web.
229960	233240	Quand on en aura 50 on les passera tous à la boucle et ça nous fera une émission.
233240	236240	Le prochain émission c'est une émission aux messages.
236240	239400	Exactement et en fait on n'aura même pas besoin, on les passera on fera ça en automatique.
239400	241440	C'est pas comme s'il y avait besoin de commentaires ensuite.
241440	242440	On reste chez nous et c'est bon.
242440	246160	Je crois qu'il y a notre ami POF qui a fait une superbe chanson aussi, il faudrait peut-être
246160	247160	qu'on la passe.
247160	248160	Ça va être beau.
248160	254160	Je crois que POF souhaite faire un duo avec MC Katana, c'est rafraîchant.
254160	257720	J'ai envie de te dire qu'il est parti participer à Star Academy quand elle sera relancée
257720	258720	en 2030.
258720	261720	Bon allez, on passe à la suite.
261720	262720	Ouais.
262720	269720	Des putes, des poney et internet, c'est l'actualité du web.
269720	273640	Alors bon il y a de l'internet, il y a des putes, j'ai pas trouvé beaucoup de poney
273640	276320	pour une news cette semaine mais on parlera quand même de poney.
276480	277800	Est-ce que Marc Dorsel sera là ?
277800	281400	Il y a toujours un petit mot pour Marc Dorsel, tu sais que c'est la tradition.
281400	285320	Marc ou Grégory, parce que c'est son fils Grégory qui prend la suite des affaires.
285320	286320	Oh fiston.
286320	289480	Il a déjà pris la suite depuis quelques années.
289480	290480	Il a pris la suite ou ?
290480	291480	Il a tout pris.
291480	292480	Ah ok d'accord.
292480	295480	Il a tout pris dans la boîte à papa.
295480	302080	Ça dit, grand-père Dorsel a l'air en forme, on avait vu une news de la semaine dernière
302080	306120	et ça va au milieu de toutes ces yaigneuses, franchement il tient la forme.
306120	310080	C'est un peu moins qu'Ughefner mais c'est dur de détrôner le maître quand même.
310080	311080	Un petit sac lipan.
311080	312080	On est en France.
312080	314480	Mais il est habillé en plus alors qu'Ughe...
314480	315480	Toujours en peignoir.
315480	316480	La grande classe.
316480	321760	Ok bon je vais commencer ces news par le site le plus putassier du net, enfin peut-être
321760	323800	pas le plus putassier du net, mais c'est qui s'en rapproche.
323800	328120	Si je vous parle de site d'information, le poste, je vois qu'il y en a un winner dans
328120	334680	la salle oui ! Le poste s'agglomérade de news dignes de voici que le fils bâtard
334680	339360	du monde, pendant des années ils ont essayé de cacher sans trop y réussir, ils avaient
339360	342120	fait un petit encart sur la gauche parce que comme ils se sont dit on a quand même balancé
342120	345080	des millions dans cette connerie, on va quand même faire un petit encart de pub, mais là
345080	348280	c'est bon c'est fini, ils sont enfin décidés de abattre la bête et de s'en débarrasser
348280	349280	une bonne fois pour toutes.
349280	351280	Qui c'est qui est au courant de la news ?
351280	352280	Moi je sais pas.
352280	353280	Tu m'en as parlé un peu ?
353280	354280	Je t'en ai parlé déjà ?
354280	357320	C'est-à-dire que tu veux dire que le poste va fermer ses portes ?
357320	359600	Ah non non je dis pas que ça va fermer ses portes, dès qu'il s'agit de menthe de la
359600	360600	merde il y a toujours des preuves.
360600	363680	Mais alors qu'est-ce qui se passe ? Qui revend de la site ?
363680	367960	En gros le site avait été lancé en 2007 donc il y a un peu plus de deux ans, donc
367960	371920	dans une optique de faire clairement ce que le monde ne pouvait pas faire sans se faire
371920	376040	taper sur la doigt, c'est-à-dire de la merde à la fois ci, et comme ça coûte cher d'avoir
376040	381320	des journalistes ils avaient fait une mini rédaction, ils utilisaient donc les articles
381320	386040	des contributeurs pour poster des trucs dessus, donc on connaît tous le niveau, qui n'est
386040	388920	pas tombé une fois sur le poste et un de ses fameux articles.
389240	394080	Ah moi c'est tombé dessus, plusieurs fois, en cherchant du was-off et tout, là on tombe
394080	395080	sur le poste.
395080	398040	Ah ouais bah tu tombes forcément sur le poste, j'avais fait, n'empêche que c'est une bonne
398040	402120	usine à troll parce que j'avais essayé de poster deux trois trucs dessus et franchement
402120	405040	il suffit d'un rien pour atteindre le point Godwin, c'est assez étonnant, j'avais fait
405040	409160	un article sur ces peluches animaux écrasés, il a fallu trois messages seulement pour
409160	412480	qu'on te traite de nazi et ça c'était fort, vous pouvez les retrouver si vous cherchez
412480	413920	Captain Web sur le poste.
413920	416920	L'erreur du poste, et pour ça qu'ils se sont plantés, c'est que c'était pas assez
416920	417920	ignoble.
417920	418920	Ils sont restés à la lisière.
418920	419920	Oh c'est dégueulasse !
419920	423640	Le fouet, le fouet, le fouet, le fouet, le fouet, et le fouet pour celui qui est en train
423640	427080	de bouffer des brayages aussi, voilà c'est bien.
427080	430960	Ils ont pas fait assez crade, si ils avaient mis du cul, des nichons, tout ça aujourd'hui
430960	431960	c'est vachement...
431960	435680	Moi j'ai d'accord, quitte à aller dans le... pas politiquement et tout, enfin le truc un
435680	437480	peu bizarre, autant aller vraiment dans le truc crade.
437480	438480	Autant y aller à fond quoi mince.
438480	439480	Autant y aller à fond quoi.
439480	440480	Fait péter quoi c'est que la merde !
440480	444480	Faut voir un truc aussi c'est que ça marche parce qu'ils ont quand même 3,8 millions
444480	445480	de visites par mois.
445480	449040	Je sais pas si vous savez ce que ça représente, mais c'est pas aussi bien que le monde mais
449040	450040	quand même pour un...
450040	451520	C'est pas aussi bien que le podcast du Capitaine.
451520	453960	Non c'est pas aussi bien que le podcast du Capitaine mais personne, d'ailleurs si quelqu'un
453960	456920	veut nous racheter on est vendeur, on va partir de 3 packs de bière je crois ?
456920	457920	Ouais, 4.
457920	458920	On est 4.
458920	461560	Ouais 4 packs de bière, vous savez où nous contacter.
461560	466400	Donc voilà, donc on va passer vite fait là dessus, donc le monde s'est décidé à le
466400	467400	vendre.
467400	473280	Alors on a des repreneurs dans le bordel, est-ce que vous savez combien perdait le poste par
473280	474280	mois ?
475080	477080	1,8 millions par an.
477080	482160	Ils avaient quand même des revenus, donc les revenus combien à votre avis ?
482160	484160	10 000 euros.
484160	486160	15 000 euros.
486160	488160	Allez un peu plus.
488160	490160	100 000 euros.
490160	492160	200 000 euros.
492160	495680	200 000 euros par an pour un site qui a quand même, rappelons-le, 3,8 millions de visites
495680	496680	par mois.
