start	end	text
0	11400	Et bienvenue à l'apéro du CAPTAIN WELL, ça décoiffe avec le CAPITAAAIN !
11400	12600	Salut c'est l'apéro là !
12600	15800	Eh oui, salut les boulets, bienvenue dans ce nouveau numéro de l'apéro,
15800	19600	le podcast le plus hardcore de l'internet francophone, voire mondial,
19600	23000	mais qu'est-ce que c'est que ce torchon immonde ?
23000	24400	Qu'est-ce que c'est que ce torchon ?
24400	26400	Mais c'est des conneries, qui c'est qui me prend le micro ?
26400	28000	Mais c'est de la merde !
28000	29800	C'est de la merde, il est de retour, c'est Manox !
29800	31800	Eh oui, bonsoir à tous, je suis de retour,
31800	35000	et je vais laisser tout de suite la parole à notre ami CAPTAIN WEB !
35000	38000	Voilà, le temps qu'il me passe ce truc par-dessus la table comme d'habitude, c'est super organisé !
38000	41600	Mais en fait, je n'ai même pas besoin de dire, de toute façon, ce que je sais ce que je veux dire,
41600	46200	ce soir, numéro exceptionnel, le Manox est de retour, et surtout nous avons deux invités !
46200	51800	Lolita, qui va nous parler de six titres, comme d'habitude, et surtout Mr. Boulay !
51800	52600	Bonjour !
52600	54600	Et surtout, j'aime bien un truc hyper sympa quoi !
54600	56800	Bah oui, parce que toi t'es déjà venu trois fois, on s'en fout !
56800	59400	Je peux en raconter sur lui hein !
59400	62800	Voilà, donc ce soir, ça va être soirée confession intime, un peu comme sur TF !
62800	63600	Ah bah ça va être chouette !
63600	65400	D'ailleurs, Mireille Dumas va nous rejoindre !
65400	66200	Oui voilà !
66200	68000	On va en balancer !
68000	69800	Alors ton père va la violer dans les câbles !
69800	70800	Directement retourné sur la table !
70800	71200	Je t'en prie !
71200	72600	Non mais non, sérieux, ça commence bien !
72600	75000	Bah je reviens, et voilà, ça y est, c'est de plus en plus grand ici !
75000	77000	Voilà, ok, bon allez, on va commencer par le tour de table comme d'habitude,
77000	79400	on va pas traîner, parce que sinon, on a pour des années, et des années...
79400	80000	Ouais !
80000	80600	Des anus !
80600	82200	C'est pour des anus, c'est des anus !
82200	84600	Ok, bon bah comme d'habitude, on commence par qui ?
85000	86200	On va commencer par Boulet !
86200	88400	Ah bah d'accord !
88400	89600	Qu'est-ce que tu vas nous dire, Boulet ?
89600	90400	Voilà, qu'est-ce que tu nous dis ?
90400	91000	Qu'est-ce que tu nous fais ?
91000	91800	Qu'est-ce que tu nous racontes ?
91800	94200	Alors, bonjour à vous tous,
94200	97000	je voudrais déjà m'adresser aux gens que je connais
97000	99600	et qui pourraient par accident écouter cette émission,
99600	101800	et leur dire que j'étais désolé par avance.
101800	104400	Voilà, je n'étais pas du tout au courant de ce que c'était,
104400	105800	je les ai entendu préparés,
105800	108800	mon angoisse a monté au fil des minutes,
108800	110200	et maintenant j'y suis,
110200	112400	et on me tend une paire d'oreilles en peluche,
