start	end	text
0	1500	...
1500	3900	Et bienvenue à l'apéro du Cap'n Well !
3900	5900	Cap'n Well !
5900	7900	Ouais c'est l'apéro !
7900	11400	Ça t'échoiffe avec le Cap'n Well !
11400	12600	Salut c'est l'apéro là !
12600	13800	Salut grosse bande de cons !
13800	17100	Alors on est bien l'apéro du Cap'n, numéro 33 avec toute l'équipe !
17100	17600	Ah bon ?
17600	19900	Oui j'améliore mes insultes chaque semaine parce que...
19900	23700	Sinon après ils se font un peu aux trucs donc il faut toujours tomber plus bas dans le principe.
23700	28400	Nous sommes donc le mardi 11 mai 2010, apéro numéro 33.
28400	31600	23h30 pour cet enregistrement en direct, n'est-ce pas ?
31600	32100	Wow !
32100	36600	Voilà ceux qui écoutent dans le métro ne verront pas la petite différence de fuseau horaire.
36600	37400	C'est en direct !
37400	40600	Bon voilà vous avez quand même laissé deux semaines après le dernier numéro avec Boulet,
40600	42600	on a eu quelques petits problèmes la semaine dernière.
42600	45300	L'emploi du temps et puis aussi technique, il faut bien le dire.
45300	47400	Et nous voilà revenus !
47400	48400	We're back !
48400	50100	Qu'est-ce qu'on fait, on commence par un petit tour de table ?
50100	50600	Fucking back !
50600	51600	Euh allons-y !
51600	52300	Allons-y !
52300	53400	Ou on parle d'autre chose ?
53400	55000	Bah non, on fait le petit tour de table d'abord.
55000	57400	On fait le petit tour de table d'abord, allez hop go !
57400	59400	Alors c'est l'heure de ton père qui commence.
59400	63400	Ce soir un podcast classique, on est que tous les quatre, il n'y a pas d'invités,
63400	66400	mais il y en aura les deux prochaines semaines.
66400	69400	Captain Webb et quoi qu'ose vont probablement vous en parler tout à l'heure.
69400	72400	Bah je sais pas, j'hésitais à en parler, mais on gardera peut-être un mot sur celui de la semaine prochaine,
72400	73400	on gardera peut-être la semaine prochaine.
73400	76400	Voilà, bah ça moi je dirais un mot de celui de la semaine prochaine.
76400	80400	Moi cette semaine, personnellement, on va parler, je vais vous parler pas mal d'Apple.
80400	82400	Alors ceux qui en ont marre, bah tant pis.
82400	85400	Je vais vous causer un peu iPad et un peu jeu sur iPhone.
85400	87400	Ah d'accord, faut les prévenir parce que moi j'en parle, non mais...
87400	89400	Et on va parler aussi un peu pognon.
89400	91400	Bah oui, pognon, du pognon, du pognon.
