start	end	text
0	11600	Et bienvenue à l'apéro du CAPTAIN WELL, ça décoiffe avec le CAPTAIN WELL !
11600	12600	Salut c'est l'apéro là !
12600	13600	Wouh !
13600	23200	Salut les mangeurs de choucroute, salut les sussords de saucisses surgelées, nous
23200	29520	sommes le vendredi 9 juillet, il est 23h30, c'est le numéro 41 de l'apéro du capitaine
29520	31480	et c'est le dernier numéro de la saison !
31480	34200	Ah bon ? J'ai l'impression qu'on est plutôt samedi et qu'il est plutôt minuit 30.
34200	35200	Ça c'est pas grave.
35200	38680	Alors je suis évidemment entouré de trois champions du monde, les champions du monde
38680	43760	du podcast souterrain, Manox qui ce soir va assurer la rubrique de Lord Pompret.
43760	44760	Wouh !
44760	50160	Quacos paraît-il qui va faire du Manox, la rubrique de la France des chansons ?
50160	51160	Exactement.
51160	56200	Et évidemment notre excellentissime CAPTAIN WELL, le héros de tous les petits enfants
56200	58880	du web, qui ce soir va faire du wassup !
58960	62080	Tout à fait, mais je me sens comme bloqué dans une sorte de boucle temporelle, un peu
62080	63080	comme un jour sans fin.
63080	64080	Et oui.
64080	66840	On a oublié de lancer l'enregistrement en relancelant.
66840	73760	Et alors évidemment je vais vous faire également une petite rétrospective sur l'apéro du
73760	77080	capitaine, mais avant ça c'est le tour de table habituel, alors Manox qu'est-ce que
77080	78560	va nous faire Lord Tom Pair ce soir ?
78560	79560	C'est un goût déjà vu ça.
79560	83040	Eh bien Lord Tom Pair ce soir va nous préparer une petite rubrique sympathique puisque je
83040	88800	vais sortir le gros parpaing, sortez les oreillers, sortez les duvets, sortez les coussinets,
88920	93920	attention, une heure de sommeil non-stop en vous parlant des simulateurs de détente pour
93920	98320	l'été, pour bien préparer votre été devant votre ordinateur, vous vous amusez, vous
98320	102760	relaxez gratuitement avec des simulateurs qui vont être à votre convenance et à toute
102760	103760	votre famille.
103760	104760	Oh ça promet.
104760	107040	Et toi mon coaco aussi, il paraît que ce soir ça va chanter ?
107040	112640	Exactement, la rubrique France des chansons, n'est-ce pas ? Lord Tom Pair on s'est vu
112640	118760	un petit peu hier soir, tu as vu en avant-première l'invité que j'ai ramené de Gare de l'Est,
118920	124320	qui s'appelle John Satriano et qui va nous faire de la mélodie vocale et instrumentale
124320	125320	de première classe.
125320	126320	Oh j'ai hâte d'y être.
126320	127320	Grand artiste.
127320	128920	Et toi mon capitaine, du was-off ?
128920	134640	Oui bah écoute, comme d'habitude, des putes, des animaux morts, des cannibales, des gens
134640	136320	qui déterrent, d'autres personnes pour les violer.
136320	138280	J'espère qu'il y aura aussi la rubrique insertion ?
138280	143800	Non, alors malheureusement non, je ne l'ai pas trouvée, je n'ai pas osé aller au bout
143800	145240	de la recherche si tu veux.
145240	146880	Mais restez quand même parce que...
146880	147880	Ce sera sale, rassurez-vous.
148000	149360	Mais ce sera sale oui, bien sûr.
149360	155360	Alors petite rétrospective sur l'apéro du capitaine, 41 numéros les enfants, c'est
155360	156920	du lourd, c'est du très lourd.
156920	158920	Vas-y, demande-moi combien ça fait en octet.
158920	162920	Alors capitaine Veb, est-ce que tu sais combien l'apéro fait en octet ?
162920	165920	Mais tout à fait, 3 milliards, je ne sais plus combien d'octets.
165920	172920	3 milliards 848 millions 641 000 913 octets codés en MP3.
172920	176920	Attends, juste de tête comme ça, mon avis ça fait à peu près 88 heures.
176960	180960	88 heures d'écoute, 56 minutes et 4 secondes.
180960	181960	Soit 2h10 environ en moyenne.
181960	182960	C'est presque 89 heures.
182960	184960	Je pense que ça pourrait être un moyen de torture, c'est-à-dire qu'on attache
