start	end	text
0	17160	Salut bande de merde, bienvenue dans l'épisode numéro 24 du podcast Hitek, le plus infréquentable
17160	21040	du net avec toute l'équipe au grand complet ce soir, à commencer par l'ordre de ton
21040	22040	père.
22040	23040	Salut à tous.
23040	24040	Quacos.
24040	25040	Oui c'est moi.
25040	27240	Et l'homme revenu de nulle part, Manox.
27240	28240	Bonsoir.
28560	30040	Alors t'es revenu en un seul morceau ?
30040	31040	Presque.
31040	33520	Ah bah écoute c'est bien, tous tes morceaux vont nous servir ce soir.
33520	36040	Ou ils sont dans les frigos.
36040	42520	Donc nous sommes le mardi 23 février, je dirais même presque le mercredi, je crois qu'on
42520	45240	peut le dire parce qu'il est un peu tard, donc il n'est pas 23 heures effectivement.
45240	49640	Donc cette semaine, back to the roots, pas d'invités, Manox, toute l'équipe au complet.
49640	50640	Ouais exactement.
50640	51640	Et les bières.
51640	52640	Et puis les bières.
52640	53640	Et un peu plus même.
53640	55840	Et oui un peu plus mais on va y venir juste après.
55840	60440	Avant, première chose dont on va parler, il y a un petit concours, vous en avez parlé
60440	61440	la semaine dernière.
61440	64680	Nous avons des DVD à faire gagner par Etae.
64680	68360	Je le prononce super bien cette fois-ci, je les montre à la cam, attention on se fout
68360	71360	pas de votre gueule, il y a clairement 4 volumes à gagner.
71360	74720	On a pensé à vous les faire gagner séparément mais ça ne coutait plus cher en fin de port.
74720	75720	Bon cadeau.
75720	77120	On allait plutôt vous les envoyer comme ça.
77120	78120	C'est quoi ces cadeaux là ?
78120	84320	Alors c'est une série d'animation qui s'appelle la mélancolie de Haruhi Suzumiya.
85040	86840	Est-ce que quelqu'un le prononce mieux que moi ?
86840	87840	Haruhi Suzumiya.
87840	90560	Il y a 4 DVD où vous pouvez en prendre un chacun.
90560	91560	Haruhi Suzumiya.
91560	94560	Oui mais en même temps je ne suis pas japonais.
94560	96760	Encore ce sera des Kenji, je ne dis pas.
96760	101520	Alors vous remarquerez que ces 4 volumes sont encore sur leur bel emballage cellophable.
101520	102520	Ils sont neufs.
102520	105400	Aucun d'entre nous ne les a pris pour les regarder avant.
105400	106400	C'est vrai.
106400	107400	On est classe quand même.
107400	110400	Soyez gentils de nous les renvoyer après pour qu'on les mate.
110400	114000	Ok donc un grand merci à Etae et alors comment vous allez les gagner ? C'est très simple,
114000	118280	vous avez juste à mettre un billet sur le blog, captenweb.net, captenweb je pense qu'ils
118280	119280	le connaissent quand même.
119280	120280	J'espère.
120280	124680	Vous avez environ 30 minutes le temps qu'on finit ces actus high-tech, à la fin des actus
124680	127760	on tirera au sort parmi tous ceux qui ont laissé un commentaire donc vous avez une demi-heure
127760	128760	à tout cassé.
128760	131920	Donc vous pouvez déjà aller dessus et laisser votre commentaire.
131920	134760	C'est l'hommage, j'aurais dit qu'il aurait fallu attendre la fin de la revue de Manox
134760	136560	pour être sûr que Manox est des auditeurs.
136560	139720	Ah oui mais en même temps je pense qu'on n'aura pas de masse de...
139720	142400	Allez allez allez allez, allez dessus, vous laissez vos comments et on verra bien qui
142400	143400	gagnera.
143400	145680	On va faire un petit tour d'étable et puis après on va pas être deux trois choses.
145680	146680	D'accord.
146680	148240	Alors ton père, à toi tu nous as préparé quoi ce soir ?
148240	152760	Alors ce soir une petite news, un anniversaire, une suite et une singularité.
152760	158080	C'est à la fois très précis et absolument pas clair du tout donc c'est parfait.
158080	159080	Et c'est fait pour.
159080	160080	Oui j'avais un peu deviné.
160080	161080	Ok, Quacos ?
161080	169160	Oui oui c'est moi, alors Quacos rubrique qui revient, le fameux Quacontest.
169160	173320	Je crois qu'il y en a eu qu'un en fait au final sur les 24 épisodes.
173320	178320	Il y en aura un deuxième donc ce soir, même deux Quacontest n'est-ce pas ?
178320	179320	Et pas de Wasauf ?
179320	181320	Et bien sûr quand même, le Wasauf !
181320	182320	Le Wasauf !
182320	183320	On perdrait tous nos auditeurs.
183320	184320	Bah oui.
184320	189560	Et moi ce soir c'est Bill 44 ans, ancien légionnaire qui va venir pour qu'on lui file
189560	193440	un coup de main pour retrouver son iPhone qu'il a perdu figurez-vous.
193440	197560	Tiens d'ailleurs Manox beaucoup de gens t'ont remercié sur Twitter de nous avoir envoyé
197560	203400	ton invité la semaine dernière, Alberto Gondalez, que tu nous a envoyé de la gare
203400	204400	du Nord.
204400	205400	Alberto a eu beaucoup de succès.
205400	211920	Alors oui beaucoup de succès, juste un truc, évidemment ça ne peut jamais marcher comme
211920	216400	on veut, Bandera vous venez de faire planter apparemment le blog puisqu'il ne répond
216400	217400	plus du tout.
217400	220480	Je sais que vous avez tous envie de gagner DVD pour les reventes sur eBay mais quand même
220480	222200	vous te cassez un peu les couilles là.
222200	226200	Alors un bon conseil surtout ne rafraîchissez pas la page du live parce que du coup à mon
226200	228720	avis ça ne marchera plus après, vous n'allez pas être dans la merde.
228720	234040	Donc qu'est-ce que je fais, je ne peux pas redémarrer le serveur, écoutez on va continuer
234040	235040	comme ça.
235040	237720	Ah oui d'accord vous avez fait, vous m'avez niqué la base de données, je le confirme,
237720	239560	c'est fantastique, vraiment je vous adore les mecs.
239560	241560	Et comment tu vas faire pour récupérer le site ?
241560	242560	Impossible.
242560	246320	À mon avis il y a trop de monde connecté, on va attendre et puis on verra, vous attendez
246320	248320	30 secondes et puis normalement ça devrait repartir tout seul.
248320	252200	T'as ton site c'est une boue quand même, il y a quoi, 50 personnes connectées dessus.
252200	256360	Enfin je ferais remarquer que le serveur je le paye avec ma petite poche donc ce serait
256360	258160	bien gentil de ne pas critiquer, merci.
