start	end	text
0	12000	...
12000	17000	Et voilà vous écoutez le 9ème épisode captenoil.net, toute l'équipe et au grand complet.
17000	23000	Nous sommes le mardi vingt octobre et qui sait qu'ils commencent à faire le petit tour de table.
23000	28000	Coucou, bonsoir à tous, ce soir, Rubrik de Foli comme j'ai pas préparé grand chose,
28000	31000	j'ai amené le manuel de ma photocopieuse et je vais vous le lire.
31000	34000	C'est super, mais je crois que personne n'a rien préparé ce soir, donc ça va être génial.
34000	36000	Si moi, je vais préparer des trucs.
36000	37000	Moi aussi un peu, mes 2, 3, 1.
37000	41000	Pour un Waze-Off du truc endudli, plein de petits Waze-Off ce soir.
41000	42000	Ah, cette chouette.
42000	46000	Et ce soir quand même, ça fait 8 semaines non-stop qu'on enregistre une fois par semaine.
46000	48000	Je tenais à le préciser, ce que c'est quand même pas rame.
48000	50000	D'un importe quoi, ça prouve que nous sommes.
50000	51000	D'accord, très bien.
51000	54000	Alors moi ce soir, bon, ben là pour...
54000	57000	J'ai voulu faire un peu léger cette fois-ci, un peu pas envie qu'on s'endrera dans le gras,
57000	60000	dans le sain d'eau, dans le pavé quoi.
60000	63000	Donc j'avais été un petit chanteur français, n'est-ce pas?
63000	64000	Gargoroff.
64000	65000	Donc il sera là.
65000	66000	Gargoroff.
66000	67000	Gargoroff.
67000	68000	Voilà, Gargoroff.
68000	69000	C'est pas éleu, c'est juste comme ça.
69000	71000	Ouais, c'est son nom, c'est un peu gutural quoi.
71000	75000	Il fait de la main, il fait du rock'n'roll, le puto du hard-core, rock'n'roll,
75000	77000	puto du grind-core.
77000	78000	Oui, ça promet.
78000	79000	Ça promet, ouais.
79000	80000	Ça va être sympa.
80000	81000	Bah voilà.
81000	82000	Écathienne.
82000	83000	Quoi-cos?
83000	84000	Quoi-cos, il a fait son tour, ça y est.
84000	86000	Ah bon, on veut dire que je ne vous écoute même pas, excusez-moi.
86000	87000	J'étais prongé dans mes pensées.
87000	88000	Ah ouais, je vois ça.
88000	90000	Donc, ben nous, comme des études, il y a des actus ce soir.
90000	94000	Sinon, juste un petit mot, on va parler avant de passer à la suite,
94000	97000	de l'Super After, la semaine dernière, ce qui est gens qui ont juste écouté le podcast
97000	100000	en téléchargement et qui n'ont pas su ce qui s'est passé après la fin de l'émission.
100000	101000	Eh ouais, alors?
101000	103000	Alors, on a tué des Amsters toute la nuit.
103000	104000	Voilà, exactement.
104000	106000	Pendant une heure à une mine suite.
106000	107000	Donc on va pas...
108000	109000	Ouais, l'auteur des ouf.
109000	113000	J'essaie qu'il y en a deux trois sur le chat qui était présent lors de ce moment mythique.
113000	115000	Et là, qui était à l'escroucher, c'est d'être pour vous, les mecs, excusez-moi.
115000	116000	Eh ouais.
116000	117000	Et même leur ton père a slamé.
117000	119000	Alors, c'était pour vous dire un peu le niveau du broadcast.
119000	120000	Mais on a eu une invité sur prise.
120000	121000	Mais on en parlera pas.
121000	122000	Ce sera pour le prochain PPI.
122000	126000	Et sinon, ce soir, c'est un peu spécial parce qu'il nous avons antirèque.
126000	128000	Mais juste, pendant la cérémonie des hot dogs.
128000	130000	Oh!
130000	131000	Marie!
131000	132000	Nous écoutent pas.
132000	133000	Non, je ne pense pas de faire plus d'écoute.
133000	140000	Mais par contre, nous avons des correspondants directs sur le chat qui vont éventuellement nous retransmettre les cérémonies.
